d_spr_w_csr_name;d_spr_w_csr_code;2018;2019;2020;
" ""Создание и развитие сети многофункциональных центров предоставления государственных услуг""";11А0000000;19470920,4;16567421;16535387,7;
" ""Информационный город""";1200000000;57937571,9;47680030,3;42810233,7;
" ""Обеспечение предоставления государственных услуг в электронной форме гражданам и юридическим лицам и развитие открытой и безопасной городской среды за счет внедрения информационно-коммуникационных технологий""";12А0000000;2982745,9;2605442,5;2500442,5;
" ""Повышение эффективности реализации функций органами исполнительной власти города Москвы за счет внедрения информационно-коммуникационных технологий""";12Б0000000;18649678,2;9707974,3;5309455,4;
" ""Развитие отрасли информационных технологий и связи и формирование общедоступной информационно-коммуникационной среды в городе Москве""";12В0000000;19958475,6;19165875,2;19005071,9;
" ""Управление реализацией программы""";12Г0000000;623952;586508,6;586508,6;
" ""Развитие средств массовой информации и рекламы""";12Д0000000;13820212,4;13846523,4;13641049;
" ""Обеспечение разработки, внедрения и использования общегородских платформ данных города Москвы""";12Е0000000;1902507,8;1767706,3;1767706,3;
" ""Развитие городской среды""";1300000000;78128966,7;58387229,1;55085875,8;
" ""Индустрия отдыха и туризма на территориях парков культуры и отдыха, музеев-заповедников и музеев-усадеб""";13А0000000;13389803,2;12485186,2;10789164,7;
" ""Индустрия отдыха на территориях общего пользования""";13Б0000000;63380984,4;44922401,4;43317069,6;
" ""Развитие туризма""";13В0000000;1358179,1;979641,5;979641,5;
" ""Экономическое развитие и инвестиционная привлекательность города Москвы""";1400000000;50515578,2;45162226,7;46043343,5;
" ""Формирование благоприятной деловой среды""";14А0000000;12822731;10727975;10692639,8;
" ""Москва - город для бизнеса и инноваций""";14Б0000000;18839105,1;18855777,2;16184060,4;
" ""Обеспечение эффективного управления имуществом города Москвы и вовлечение его в хозяйственный оборот""";14В0000000;13436391,4;10633868,1;14197654,5;
" ""Обеспечение эффективности и качества потребительских услуг для населения""";14Г0000000;5417350,7;4944606,4;4968988,8;
" ""Градостроительная политика""";1500000000;21612134,9;17259787,1;17843925,2;
" ""Научно-методическое и информационно-аналитическое обеспечение градостроительной деятельности""";1530000000;2308152,2;1313152,2;1277152,2;
" ""Подготовка основных документов и решений по градостроительному развитию города Москвы""";15А0000000;627633,2;628288,1;628288,1;
